original,corrected
چیكار,چی كار
مهمتر,مهم تر
مهمترین,مهم ترین
بهاین,به این
سادگیها,سادگی ها
محمدمعین,محمد معین
تقریباهمه,تقریبا همه
ظرفهای,ظرف های
بهجا,به جا
مانده_است,مانده است
میدهد,می دهد
باندهای,باند های
میشود,می شود
سرآخر,سر آخر
نیروهای,نیرو های
هممیهنان,هم میهنان
آورده_است,آورده است
امپراتور,امپراطور
بیماریها,بیماری ها
ماهیانهی,ماهیانه ی
شگفتآور,شگفت آور
گرسنهام,گرسنه ام
ذره٬قطره,ذره قطره
بزرگترین,بزرگ ترین
تولیدکننده,تولید کننده
افزارهای,افزار های
خطاهای,خطا های
آنها,آن ها
بچهها,بچه ها
خواهم_وقتی,خواهم وقتی
میکوشد,می کوشد
ویژهای,ویژه های
زمینشناسی,زمین شناسی
پوستهی,پوسته ی
کرهی,کره ی
خورده_ای,خورده ای
فریادها,فریاد ها
بیشتر,بیش تر
میگویند,می گویند
دندانهی,دندانه ی
بینالمللی,بین المللی
اقلیتهای,اقلیت های
گستردهی,گسترده ی
میدهند,می دهند
میکند,می کند
خانهای,خانه های
رفته_است,رفته است
خودداری,خود داری
نقاشیخط,نقاشی خط
ارزشهای,ارزش های
گرینلند,گرین لند
میکنم,می کنم
خواهد_.,خواهد 
تشخیصشان,تشخیص شان
کارهایی,کار هایی
خواسته_بودم,خواسته بودم
دستگیر,دست گیر
دوستتان,دوست تان
اشیای,اشیا ی
میافتد,می افتد
اتومبیلهای,اتومبیل های
دهندهی,دهنده ی
بخاطر,به خاطر
کرده_اند,کرده اند
اهمیتدادن,اهمیت دادن
اعضای,اعضا ی
میگن,می گن
پارچههای,پارچه های
کتابهای,کتاب های
برانگیخت,بر انگیخت
میخوام,می خوام
میپسندین,می پسندین
خانوادهی,خانواده ی
شبههی,شبهه ی
مدیرعامل,مدیر عامل
نمیخواستند,نمی خواستند
طلیعهی,طلیعه ی
داده_بود,داده بود
کرایهی,کرایه ی
مصاحبهای,مصاحبه های
خواهم_.,خواهم 
زیپوهای,زیپو های
خسته_شده_بود,خسته شده بود
میتواند,می تواند
بویژه,به ویژه
موقعیتهای,موقعیت های
میآید,می آید
شده_است,شده است
اینیک,این یک
بطور,به طور
فزایندهای,فزایند های
داشته_باشید,داشته باشید
شکلاتها,شکلات ها
ماشینهای,ماشین های
اینجوری,این جوری
جیمزکومی,جیمز کومی
فهمیدهبود,فهمیده بود
گذاشتهام,گذاشته ام
خاکروبهها,خاکروبه ها
هرکی,هر کی
چیکار,چی کار
میشد,می شد
میدونستم,می دونستم
میشی,می شی
بدتر,بد تر
بهصورت,به صورت
سیاهپوستان,سیاه پوستان
مهرماه,مهر ماه
میخام,می خام
میتوانم,می توانم
عاقلانهام,عاقلانه ام
نوگرایانهٔ,نو گرایانهٔ
نمیشه,نمی شه
حقوقهاى,حقوق هاى
براحتى,به راحتى
میخواییم,می خواهیم
نمیدونم,نمی دونم
میکنی,می کنی
دربارهی,درباره ی
ناپایداریهای,ناپایداری های
افضلالدین,افضل الدین
داشته_باشند,داشته باشند
معاینهی,معاینه ی
ساعتها,ساعت ها
میکردم,می کردم
خواهید_آورد,خواهید آورد
خواهد_داد,خواهد داد
کارشان,کار شان
میرسد,می رسد
هنرزیستن,هنر زیستن
نمیدانست,نمی دانست
مقصدهای,مقصد های
میخواستم,می خواستم
همهی,همه ی
قابلیتهای,قابلیت های
میآوریم,می آوریم
دوربینها,دوربین ها
تکانهای,تکان های
خواهم_پرتغالی,خواهم پرتغالی
اقیانوسها,اقیانوس ها
کتابشونو,کتاب شون رو
میکنن,می کنن
خواهد_کرد,خواهد کرد
خواهم_یک,خواهم یک
بزرگتر,بزرگ تر
میبایستی,می بایستی
شده_باشد,شده باشد
کرده_بود,کرده بود
درصورتی,در صورتی
خودمن,خود من
دعاکردن,دعا کردن
اماهیچوقت,اما هیچوقت
ماکردیم,ما کردیم
کارگرهای,کارگر های
