sample,label,predicted
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_27990213.mp3,پایش به پله گرفت و با سر بر زمین افتاد,پایش به پله گرفت و با سر بر زمین افتاد
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_23936199.mp3,ترم دیگه هم از قراری مجازیست,ترم دیگه هم از قراری مجازیست
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19232262.mp3,خوش به سعادت ازاده جان خوش به سعادتت,خوش به سعادت ازاده جان خوش به سعادتت
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_30492487.mp3,از بدن اسب بخار بلند می شد,از بدن اسب با خال بلند می شد
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_22764151.mp3,اردن,اردون
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20197918.mp3,این بهتره تا اینکه به بهونه درس و مشق هر روز بره خونه شون,این بهتره تا اینکه به بهونه درس و مشق هر روز بره خونه شون
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20164264.mp3,می گویم قصد ندارم بهش ذهنیت بدهم,می گویم قصد ندارم بهش ذهنیت بدهم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19098416.mp3,اومدم که گوشی رو بگیرم,اومدم که گوشی رو بگیرم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19471190.mp3,لطفا تمام دستگاه های الکترونیکی را خاموش کنید,لطفا تمام دستگاه های الکترونیکی را خاموش کنید
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19223417.mp3,با تبسمی گفت سببش مادرم بود گفتم چگونه,با تبسمی گفت سببش مادرم بود گفتم چگونه
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_32865598.mp3,تخت خواب چرخدار,تخت خواب چرخدار
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_28840985.mp3,او داعیه ی چیرگی بر ملت ما را داشت,او داییه ی چیرگی بر ملت ما را داشت
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20163564.mp3,میرم بازی رو تموم کنم,میرم بازی رو تموم کنم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_30224122.mp3,ماهی تابه چدن,ماهی تابه چدن
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20058263.mp3,در حالی که هر سال که خودش پاک می کرد آه و ناله ش به راه بود,در حالی که هر سال که خودش پاک می کرد آه و نانش به راه بود
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19520316.mp3,نویسنده این فیلم چه کسی است,نویسنده این فیلم چه کسی است
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_32136635.mp3,سربازان مست که برای خنده و سرگرمی ظروف قدیمی را می شکستند,سربازان مست که برای خنده و سرگرمی ظروف قدیمی را می شکستند
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20328570.mp3,نوبت توست,نوبت توست
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19354854.mp3,راهنما کجاست,راهنما کجاست
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20070419.mp3,من داشتم تشبیه می کردم,من داشتم تشبیه می کردم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19360610.mp3,به ترین راه گشتن شهر چیست,به ترین راه کشتن گشتن شهر چیست
